nucl;atom;AMBER;CHARMM;my_own;VDW R AMBER;VDW DEPTH AMBER;VDW R Charmm;VDW DEPTH Charmm;my_own
2RA;O15;-0.438275;;;1.6837;0.17;;;
2RA;P17;1.238192;;;2.1;0.2;;;
2RA;O71;-0.746033;;;1.721;0.2104;;;
2RA;H71;0.44287;;;0;0;;;
2RA;O72;-0.778068;;;1.6612;0.21;;;
2RA;O73;-0.812159;;;1.6612;0.21;;;
2RA;H51;0.089022;;;1.387;0.0157;;;
2RA;H52;0.089022;;;1.387;0.0157;;;
2RA;H14;0.125661;;;1.387;0.0157;;;
2RA;H11;0.174956;;;1.287;0.0157;;;
2RA;N9;0.01721;;;1.824;0.17;;;
2RA;C8;0.129948;;;1.908;0.086;;;
2RA;N7;-0.584972;;;1.824;0.17;;;
2RA;C5;0.305026;;;1.908;0.086;;;
2RA;C6;0.711159;;;1.908;0.086;;;
2RA;N6;-0.938595;;;1.824;0.17;;;
2RA;H61;0.412471;;;0.6;0.0157;;;
2RA;H62;0.412471;;;0.6;0.0157;;;
2RA;N1;-0.753552;;;1.824;0.17;;;
2RA;C2;0.574082;;;1.908;0.086;;;
2RA;N3;-0.683549;;;1.824;0.17;;;
2RA;C4;0.058581;;;1.908;0.086;;;
2RA;H2;0.046667;;;1.359;0.015;;;
2RA;H8;0.174909;;;1.359;0.015;;;
2RG;P;1.081932;;;2.1;0.2;;;
2RG;O1P;-0.76536;;;1.6612;0.21;;;
2RG;O2P;-0.76536;;;1.6612;0.21;;;
2RG;'O2''';-0.413577;;;1.6837;0.17;;;
2RG;C11;0.082806;;;1.908;0.1094;;;
2RG;O14;-0.380235;;;1.6837;0.17;;;
2RG;C14;0.073825;;;1.908;0.1094;;;
2RG;C13;0.052354;;;1.908;0.1094;;;
2RG;C17;0.281463;;;1.908;0.1094;;;
2RG;O71;-0.697258;;;1.721;0.2104;;;
2RG;H71;0.458627;;;0;0;;;
2RG;H17;0.055237;;;1.387;0.0157;;;
2RG;O31;-0.694325;;;1.721;0.2104;;;
2RG;H31;0.470493;;;0;0;;;
2RG;H13;0.111895;;;1.387;0.0157;;;
2RG;C15;0.036809;;;1.908;0.1094;;;
2RG;O15;-0.438275;;;1.6837;0.17;;;
2RG;P16;1.238192;;;2.1;0.2;;;
2RG;O61;-0.746033;;;1.721;0.2104;;;
2RG;H61;0.44287;;;0;0;;;
2RG;O62;-0.778068;;;1.6612;0.21;;;
2RG;O63;-0.812159;;;1.6612;0.21;;;
2RG;H51;0.089022;;;1.387;0.0157;;;
2RG;H52;0.089022;;;1.387;0.0157;;;
2RG;H14;0.125661;;;1.387;0.0157;;;
2RG;H11;0.174956;;;1.287;0.0157;;;
2RG;N9;0.026813;;;1.824;0.17;;;
2RG;C8;0.106598;;;1.908;0.086;;;
2RG;N7;-0.557509;;;1.824;0.17;;;
2RG;C5;0.156355;;;1.908;0.086;;;
2RG;C6;0.531582;;;1.908;0.086;;;
2RG;O6;-0.548292;;;1.6612;0.21;;;
2RG;N1;-0.528716;;;1.824;0.17;;;
2RG;C2;0.71913;;;1.908;0.086;;;
2RG;N2;-0.904426;;;1.824;0.17;;;
2RG;H21;0.396801;;;0.6;0.0157;;;
2RG;H22;0.396801;;;0.6;0.0157;;;
2RG;N3;-0.595868;;;1.824;0.17;;;
2RG;C4;0.151265;;;1.908;0.086;;;
2RG;H1;0.354593;;;0.6;0.0157;;;
2RG;H8;0.176688;;;1.359;0.015;;;
2SC;P;1.087832;;;2.1;0.2;;;
2SC;O1P;-0.76666;;;1.6612;0.21;;;
2SC;O2P;-0.76666;;;1.6612;0.21;;;
2SC;'O2''';-0.591348;;;1.721;0.2104;;;
2SC;'HO''2';0.410145;;;0;0;;;
2SC;N1;0.070179;;;1.824;0.17;;;
2SC;C2;0.32875;;;1.908;0.086;;;
2SC;N3;-0.675592;;;1.824;0.17;;;
2SC;C4;0.935834;;;1.908;0.086;;;
2SC;N4;-1.029723;;;1.824;0.17;;;
2SC;H41;0.442291;;;0.6;0.0157;;;
2SC;H42;0.442291;;;0.6;0.0157;;;
2SC;C5;-0.520546;;;1.908;0.086;;;
2SC;C6;-0.019192;;;1.908;0.086;;;
2SC;H6;0.187774;;;1.409;0.015;;;
2SC;H5;0.202587;;;1.459;0.015;;;
2SU;P;1.087832;;;2.1;0.2;;;
2SU;O1P;-0.76666;;;1.6612;0.21;;;
2SU;O2P;-0.76666;;;1.6612;0.21;;;
2SU;'O2''';-0.591348;;;1.721;0.2104;;;
2SU;'HO''2';0.410145;;;0;0;;;
2SU;N1;0.229688;;;1.824;0.17;;;
2SU;C2;-0.053186;;;1.908;0.086;;;
2SU;N3;-0.139593;;;1.824;0.17;;;
2SU;C4;0.614307;;;1.908;0.086;;;
2SU;O4;-0.54911;;;1.6612;0.21;;;
2SU;C5;-0.345007;;;1.908;0.086;;;
2SU;C6;-0.143873;;;1.908;0.086;;;
2SU;H6;0.197561;;;1.409;0.015;;;
2SU;H5;0.195924;;;1.459;0.015;;;
2SU;H3;0.248065;;;0.6;0.0157;;;
3AU;P;1.087832;;;2.1;0.2;;;
3AU;O1P;-0.76666;;;1.6612;0.21;;;
3AU;O2P;-0.76666;;;1.6612;0.21;;;
3AU;'O2''';-0.591348;;;1.721;0.2104;;;
3AU;'HO''2';0.410145;;;0;0;;;
3AU;N1;0.018538;;;1.824;0.17;;;
3AU;C2;0.457631;;;1.908;0.086;;;
3AU;O2;-0.521222;;;1.6612;0.21;;;
3AU;N3;-0.089213;;;1.824;0.17;;;
3AU;C4;0.620118;;;1.908;0.086;;;
3AU;O4;-0.556592;;;1.6612;0.21;;;
3AU;C5;-0.438561;;;1.908;0.086;;;
3AU;C6;-0.134167;;;1.908;0.086;;;
3AU;H6;0.220706;;;1.409;0.015;;;
3AU;H5;0.205493;;;1.459;0.015;;;
3AU;C31;-0.261718;;;1.908;0.1094;;;
3AU;C32;-0.119398;;;1.908;0.1094;;;
3AU;C34;0.064205;;;1.908;0.1094;;;
3AU;H34;0.085059;;;1.1;0.0157;;;
3AU;N46;-0.312325;;;1.824;0.17;;;
3AU;H61;0.269074;;;0.6;0.0157;;;
3AU;H62;0.269074;;;0.6;0.0157;;;
3AU;H63;0.269074;;;0.6;0.0157;;;
3AU;C35;0.720607;;;1.908;0.086;;;
3AU;O51;-0.711191;;;1.6612;0.21;;;
3AU;O52;-0.665708;;;1.6612;0.21;;;
3AU;H21;0.079882;;;1.487;0.0157;;;
3AU;H22;0.079882;;;1.487;0.0157;;;
3AU;H11;0.166286;;;1.387;0.0157;;;
3AU;H12;0.166286;;;1.387;0.0157;;;
3MC;P;1.087832;;;2.1;0.2;;;
3MC;O1P;-0.76666;;;1.6612;0.21;;;
3MC;O2P;-0.76666;;;1.6612;0.21;;;
3MC;'O2''';-0.591348;;;1.721;0.2104;;;
3MC;'HO''2';0.410145;;;0;0;;;
3MC;N1;0.027581;;;1.824;0.17;;;
3MC;C2;0.449322;;;1.908;0.086;;;
3MC;O2;-0.550547;;;1.6612;0.21;;;
3MC;N3;-0.055288;;;1.824;0.17;;;
3MC;C4;0.49524;;;1.908;0.086;;;
3MC;N4;-0.848916;;;1.824;0.17;;;
3MC;H41;0.387586;;;0.6;0.0157;;;
3MC;C5;-0.320873;;;1.908;0.086;;;
3MC;C6;-0.219423;;;1.908;0.086;;;
3MC;H6;0.220549;;;1.409;0.015;;;
3MC;H5;0.199497;;;1.459;0.015;;;
3MC;C31;-0.142949;;;1.908;0.1094;;;
3MC;H11;0.080014;;;1.387;0.0157;;;
3MC;H12;0.080014;;;1.387;0.0157;;;
3MC;H13;0.080014;;;1.387;0.0157;;;
3MP;P;1.087832;;;2.1;0.2;;;
3MP;O1P;-0.76666;;;1.6612;0.21;;;
3MP;O2P;-0.76666;;;1.6612;0.21;;;
3MP;'O2''';-0.591348;;;1.721;0.2104;;;
3MP;'HO''2';0.410145;;;0;0;;;
3MP;C5;-0.231723;;;1.908;0.086;;;
3MP;C4;0.617546;;;1.908;0.086;;;
3MP;O4;-0.5626;;;1.6612;0.21;;;
3MP;N3;-0.065411;;;1.824;0.17;;;
3MP;C2;0.480122;;;1.908;0.086;;;
3MP;O2;-0.557261;;;1.6612;0.21;;;
3MP;N1;-0.294773;;;1.824;0.17;;;
3MP;C6;-0.158842;;;1.908;0.086;;;
3MP;H6;0.220054;;;1.409;0.015;;;
3MP;HN1;0.315936;;;0.6;0.0157;;;
3MP;C31;-0.147935;;;1.908;0.1094;;;
3MP;H11;0.088902;;;1.387;0.0157;;;
3MP;H12;0.088902;;;1.387;0.0157;;;
3MP;H13;0.088902;;;1.387;0.0157;;;
3MU;P;1.087832;;;2.1;0.2;;;
3MU;O1P;-0.76666;;;1.6612;0.21;;;
3MU;O2P;-0.76666;;;1.6612;0.21;;;
3MU;'O2''';-0.591348;;;1.721;0.2104;;;
3MU;'HO''2';0.410145;;;0;0;;;
3MU;N1;0.012233;;;1.824;0.17;;;
3MU;C2;0.504749;;;1.908;0.086;;;
3MU;O2;-0.556614;;;1.6612;0.21;;;
3MU;N3;-0.068505;;;1.824;0.17;;;
3MU;C4;0.534121;;;1.908;0.086;;;
3MU;O4;-0.537202;;;1.6612;0.21;;;
3MU;C5;-0.372029;;;1.908;0.086;;;
3MU;C6;-0.169734;;;1.908;0.086;;;
3MU;H6;0.224278;;;1.409;0.015;;;
3MU;H5;0.195843;;;1.459;0.015;;;
3MU;C31;-0.182069;;;1.908;0.1094;;;
3MU;H11;0.098916;;;1.387;0.0157;;;
3MU;H12;0.098916;;;1.387;0.0157;;;
3MU;H13;0.098916;;;1.387;0.0157;;;
4AC;P;1.087832;;;2.1;0.2;;;
4AC;O1P;-0.76666;;;1.6612;0.21;;;
4AC;O2P;-0.76666;;;1.6612;0.21;;;
4AC;'O2''';-0.591348;;;1.721;0.2104;;;
4AC;'HO''2';0.410145;;;0;0;;;
4AC;N1;-0.045457;;;1.824;0.17;;;
4AC;C2;0.744248;;;1.908;0.086;;;
4AC;O2;-0.620129;;;1.6612;0.21;;;
4AC;N3;-0.580367;;;1.824;0.17;;;
4AC;C4;0.617207;;;1.908;0.086;;;
4AC;N4;-0.550245;;;1.824;0.17;;;
4AC;H41;0.328308;;;0.6;0.0157;;;
4AC;C42;0.670707;;;1.908;0.086;;;
4AC;C43;-0.170258;;;1.908;0.1094;;;
4AC;H31;0.063364;;;1.487;0.0157;;;
4AC;H32;0.063364;;;1.487;0.0157;;;
4AC;H33;0.063364;;;1.487;0.0157;;;
4AC;O42;-0.573676;;;1.6612;0.21;;;
4AC;C5;-0.525131;;;1.908;0.086;;;
4AC;C6;-0.016571;;;1.908;0.086;;;
4AC;H6;0.198777;;;1.409;0.015;;;
4AC;H5;0.214316;;;1.459;0.015;;;
4MC;P;1.087832;;;2.1;0.2;;;
4MC;O1P;-0.76666;;;1.6612;0.21;;;
4MC;O2P;-0.76666;;;1.6612;0.21;;;
4MC;'O2''';-0.591348;;;1.721;0.2104;;;
4MC;'HO''2';0.410145;;;0;0;;;
4MC;N1;-0.055937;;;1.824;0.17;;;
4MC;C2;0.878782;;;1.908;0.086;;;
4MC;O2;-0.65033;;;1.6612;0.21;;;
4MC;N3;-0.78545;;;1.824;0.17;;;
4MC;C4;0.49294;;;1.908;0.086;;;
4MC;N4;-0.349253;;;1.824;0.17;;;
4MC;H41;0.31189;;;0.6;0.0157;;;
4MC;C42;-0.154224;;;1.908;0.1094;;;
4MC;H21;0.089412;;;1.387;0.0157;;;
4MC;H22;0.089412;;;1.387;0.0157;;;
4MC;H23;0.089412;;;1.387;0.0157;;;
4MC;C5;-0.315278;;;1.908;0.086;;;
4MC;C6;-0.120332;;;1.908;0.086;;;
4MC;H6;0.201422;;;1.409;0.015;;;
4MC;H5;0.159355;;;1.459;0.015;;;
4SU;P;1.087832;;;2.1;0.2;;;
4SU;O1P;-0.76666;;;1.6612;0.21;;;
4SU;O2P;-0.76666;;;1.6612;0.21;;;
4SU;'O2''';-0.591348;;;1.721;0.2104;;;
4SU;'HO''2';0.410145;;;0;0;;;
4SU;N1;0.058598;;;1.824;0.17;;;
4SU;C2;0.507881;;;1.908;0.086;;;
4SU;O2;-0.556839;;;1.6612;0.21;;;
4SU;N3;-0.054836;;;1.824;0.17;;;
4SU;C4;0.009968;;;1.908;0.086;;;
4SU;C5;-0.074121;;;1.908;0.086;;;
4SU;C6;-0.172983;;;1.908;0.086;;;
4SU;H6;0.199585;;;1.409;0.015;;;
4SU;H5;0.118862;;;1.459;0.015;;;
4SU;H3;0.212058;;;0.6;0.0157;;;
52U;P;1.087832;;;2.1;0.2;;;
52U;O1P;-0.76666;;;1.6612;0.21;;;
52U;O2P;-0.76666;;;1.6612;0.21;;;
52U;'O2''';-0.591348;;;1.721;0.2104;;;
52U;'HO''2';0.410145;;;0;0;;;
52U;N1;0.205631;;;1.824;0.17;;;
52U;C2;-0.024078;;;1.908;0.086;;;
52U;N3;-0.211034;;;1.824;0.17;;;
52U;C4;0.601296;;;1.908;0.086;;;
52U;O4;-0.552141;;;1.6612;0.21;;;
52U;C5;0.004964;;;1.908;0.086;;;
52U;C6;-0.236884;;;1.908;0.086;;;
52U;H6;0.200424;;;1.409;0.015;;;
52U;C51;-0.314741;;;1.908;0.1094;;;
52U;H11;0.108868;;;1.487;0.0157;;;
52U;H12;0.108868;;;1.487;0.0157;;;
52U;H13;0.108868;;;1.487;0.0157;;;
52U;H3;0.265143;;;0.6;0.0157;;;
5AU;P;1.087832;;;2.1;0.2;;;
5AU;O1P;-0.76666;;;1.6612;0.21;;;
5AU;O2P;-0.76666;;;1.6612;0.21;;;
5AU;'O2''';-0.591348;;;1.721;0.2104;;;
5AU;'HO''2';0.410145;;;0;0;;;
5AU;N1;0.01281;;;1.824;0.17;;;
5AU;C2;0.600048;;;1.908;0.086;;;
5AU;O2;-0.578053;;;1.6612;0.21;;;
5AU;N3;-0.449475;;;1.824;0.17;;;
5AU;C4;0.587842;;;1.908;0.086;;;
5AU;O4;-0.542531;;;1.6612;0.21;;;
5AU;C5;-0.167574;;;1.908;0.086;;;
5AU;C6;-0.206234;;;1.908;0.086;;;
5AU;H6;0.229993;;;1.409;0.015;;;
5AU;C51;0.042413;;;1.908;0.1094;;;
5AU;N52;-0.652235;;;1.824;0.17;;;
5AU;C53;-0.026284;;;1.908;0.1094;;;
5AU;H31;0.056245;;;1.387;0.0157;;;
5AU;H32;0.056245;;;1.387;0.0157;;;
5AU;H33;0.056245;;;1.387;0.0157;;;
5AU;H52;0.378969;;;0.6;0.0157;;;
5AU;H11;0.07919;;;1.387;0.0157;;;
5AU;H12;0.07919;;;1.387;0.0157;;;
5AU;H3;0.325016;;;0.6;0.0157;;;
5CU;P;1.087832;;;2.1;0.2;;;
5CU;O1P;-0.76666;;;1.6612;0.21;;;
5CU;O2P;-0.76666;;;1.6612;0.21;;;
5CU;'O2''';-0.591348;;;1.721;0.2104;;;
5CU;'HO''2';0.410145;;;0;0;;;
5CU;N1;0.016436;;;1.824;0.17;;;
5CU;C2;0.569921;;;1.908;0.086;;;
5CU;O2;-0.622472;;;1.6612;0.21;;;
5CU;N3;-0.475864;;;1.824;0.17;;;
5CU;C4;0.59607;;;1.908;0.086;;;
5CU;O4;-0.596136;;;1.6612;0.21;;;
5CU;C5;-0.040101;;;1.908;0.086;;;
5CU;C6;-0.318873;;;1.908;0.086;;;
5CU;H6;0.276168;;;1.409;0.015;;;
5CU;C51;-0.137651;;;1.908;0.1094;;;
5CU;H11;0.037152;;;1.487;0.0157;;;
5CU;H12;0.037152;;;1.487;0.0157;;;
5CU;C52;0.828319;;;1.908;0.086;;;
5CU;O21;-0.795333;;;1.6612;0.21;;;
5CU;O22;-0.811661;;;1.6612;0.21;;;
5CU;H3;0.318692;;;0.6;0.0157;;;
5DU;P;1.087832;;;2.1;0.2;;;
5DU;O1P;-0.76666;;;1.6612;0.21;;;
5DU;O2P;-0.76666;;;1.6612;0.21;;;
5DU;'O2''';-0.591348;;;1.721;0.2104;;;
5DU;'HO''2';0.410145;;;0;0;;;
5DU;N1;0.023299;;;1.824;0.17;;;
5DU;C2;0.537482;;;1.908;0.086;;;
5DU;O2;-0.592444;;;1.6612;0.21;;;
5DU;N3;-0.451804;;;1.824;0.17;;;
5DU;C4;0.55182;;;1.908;0.086;;;
5DU;O4;-0.579335;;;1.6612;0.21;;;
5DU;C5;-0.076874;;;1.908;0.086;;;
5DU;C6;-0.161209;;;1.908;0.086;;;
5DU;H6;0.149009;;;1.409;0.015;;;
5DU;C51;0.072961;;;1.908;0.1094;;;
5DU;H11;0.055338;;;1.387;0.0157;;;
5DU;H12;0.055338;;;1.387;0.0157;;;
5DU;N52;-0.588385;;;1.824;0.17;;;
5DU;H52;0.32687;;;0.6;0.0157;;;
5DU;C53;-0.035828;;;1.908;0.1094;;;
5DU;H31;0.023242;;;1.387;0.0157;;;
5DU;H32;0.023242;;;1.387;0.0157;;;
5DU;C54;0.834008;;;1.908;0.086;;;
5DU;O41;-0.804656;;;1.6612;0.21;;;
5DU;O42;-0.809735;;;1.6612;0.21;;;
5DU;H3;0.32948;;;0.6;0.0157;;;
5FC;P;1.087832;;;2.1;0.2;;;
5FC;O1P;-0.76666;;;1.6612;0.21;;;
5FC;O2P;-0.76666;;;1.6612;0.21;;;
5FC;'O2''';-0.591348;;;1.721;0.2104;;;
5FC;'HO''2';0.410145;;;0;0;;;
5FC;N1;0.005388;;;1.824;0.17;;;
5FC;C2;0.796188;;;1.908;0.086;;;
5FC;O2;-0.607972;;;1.6612;0.21;;;
5FC;N3;-0.725259;;;1.824;0.17;;;
5FC;C4;0.583026;;;1.908;0.086;;;
5FC;N4;-0.807987;;;1.824;0.17;;;
5FC;H41;0.40093;;;0.6;0.0157;;;
5FC;H42;0.40093;;;0.6;0.0157;;;
5FC;C5;-0.130809;;;1.908;0.086;;;
5FC;C6;-0.167688;;;1.908;0.086;;;
5FC;H6;0.205835;;;1.409;0.015;;;
5FC;C51;0.386146;;;1.908;0.086;;;
5FC;H51;0.040265;;;1.409;0.015;;;
5FC;O52;-0.497173;;;1.6612;0.21;;;
5HU;P;1.087832;;;2.1;0.2;;;
5HU;O1P;-0.76666;;;1.6612;0.21;;;
5HU;O2P;-0.76666;;;1.6612;0.21;;;
5HU;'O2''';-0.591348;;;1.721;0.2104;;;
5HU;'HO''2';0.410145;;;0;0;;;
5HU;N1;-0.024794;;;1.824;0.17;;;
5HU;C2;0.596798;;;1.908;0.086;;;
5HU;O2;-0.570822;;;1.6612;0.21;;;
5HU;N3;-0.500664;;;1.824;0.17;;;
5HU;C4;0.587716;;;1.908;0.086;;;
5HU;O4;-0.558182;;;1.6612;0.21;;;
5HU;C5;0.127914;;;1.908;0.086;;;
5HU;C6;-0.254433;;;1.908;0.086;;;
5HU;H6;0.25352;;;1.409;0.015;;;
5HU;O51;-0.577903;;;1.721;0.2104;;;
5HU;H51;0.446378;;;0;0;;;
5HU;H3;0.356292;;;0.6;0.0157;;;
5MC;P;1.087832;;;2.1;0.2;;;
5MC;O1P;-0.76666;;;1.6612;0.21;;;
5MC;O2P;-0.76666;;;1.6612;0.21;;;
5MC;'O2''';-0.591348;;;1.721;0.2104;;;
5MC;'HO''2';0.410145;;;0;0;;;
5MC;N1;-0.067362;;;1.824;0.17;;;
5MC;C2;0.793908;;;1.908;0.086;;;
5MC;O2;-0.628902;;;1.6612;0.21;;;
5MC;N3;-0.726757;;;1.824;0.17;;;
5MC;C4;0.630415;;;1.908;0.086;;;
5MC;N4;-0.893341;;;1.824;0.17;;;
5MC;H41;0.409538;;;0.6;0.0157;;;
5MC;H42;0.409538;;;0.6;0.0157;;;
5MC;C5;-0.050992;;;1.908;0.086;;;
5MC;C6;-0.196158;;;1.908;0.086;;;
5MC;H6;0.215773;;;1.409;0.015;;;
5MC;C51;-0.270739;;;1.908;0.1094;;;
5MC;H11;0.085633;;;1.487;0.0157;;;
5MC;H12;0.085633;;;1.487;0.0157;;;
5MC;H13;0.085633;;;1.487;0.0157;;;
5MU;P;1.087832;;;2.1;0.2;;;
5MU;O1P;-0.76666;;;1.6612;0.21;;;
5MU;O2P;-0.76666;;;1.6612;0.21;;;
5MU;'O2''';-0.591348;;;1.721;0.2104;;;
5MU;'HO''2';0.410145;;;0;0;;;
5MU;N1;0.017423;;;1.824;0.17;;;
5MU;C2;0.589907;;;1.908;0.086;;;
5MU;O2;-0.569868;;;1.6612;0.21;;;
5MU;N3;-0.520159;;;1.824;0.17;;;
5MU;C4;0.604118;;;1.908;0.086;;;
5MU;O4;-0.55212;;;1.6612;0.21;;;
5MU;C5;-0.007035;;;1.908;0.086;;;
5MU;C6;-0.269878;;;1.908;0.086;;;
5MU;H6;0.229845;;;1.409;0.015;;;
5MU;C51;-0.27217;;;1.908;0.1094;;;
5MU;H11;0.093244;;;1.487;0.0157;;;
5MU;H12;0.093244;;;1.487;0.0157;;;
5MU;H13;0.093244;;;1.487;0.0157;;;
5MU;H3;0.352024;;;0.6;0.0157;;;
5TU;P;1.087832;;;2.1;0.2;;;
5TU;O1P;-0.76666;;;1.6612;0.21;;;
5TU;O2P;-0.76666;;;1.6612;0.21;;;
5TU;'O2''';-0.591348;;;1.721;0.2104;;;
5TU;'HO''2';0.410145;;;0;0;;;
5TU;N1;0.026287;;;1.824;0.17;;;
5TU;C2;0.54405;;;1.908;0.086;;;
5TU;O2;-0.582129;;;1.6612;0.21;;;
5TU;N3;-0.461934;;;1.824;0.17;;;
5TU;C4;0.54768;;;1.908;0.086;;;
5TU;O4;-0.563669;;;1.6612;0.21;;;
5TU;C5;-0.058395;;;1.908;0.086;;;
5TU;C6;-0.159801;;;1.908;0.086;;;
5TU;H6;0.134416;;;1.409;0.015;;;
5TU;C51;0.000002;;;1.908;0.1094;;;
5TU;H11;0.070498;;;1.387;0.0157;;;
5TU;H12;0.070498;;;1.387;0.0157;;;
5TU;N52;-0.486445;;;1.824;0.17;;;
5TU;C53;0.042571;;;1.908;0.1094;;;
5TU;C54;-0.238035;;;1.908;0.1094;;;
5TU;H41;0.073471;;;1.387;0.0157;;;
5TU;H42;0.073471;;;1.387;0.0157;;;
5TU;O61;-0.701368;;;1.6612;0.21;;;
5TU;O62;-0.696544;;;1.6612;0.21;;;
5TU;O63;-0.700594;;;1.6612;0.21;;;
5TU;H31;0.071257;;;1.387;0.0157;;;
5TU;H32;0.071257;;;1.387;0.0157;;;
5TU;H52;0.283139;;;0.6;0.0157;;;
5TU;H3;0.335423;;;0.6;0.0157;;;
66A;P;1.087832;;;2.1;0.2;;;
66A;O1P;-0.76666;;;1.6612;0.21;;;
66A;O2P;-0.76666;;;1.6612;0.21;;;
66A;'O2''';-0.591348;;;1.721;0.2104;;;
66A;'HO''2';0.410145;;;0;0;;;
66A;N9;-0.028831;;;1.824;0.17;;;
66A;C8;0.056407;;;1.908;0.086;;;
66A;N7;-0.522115;;;1.824;0.17;;;
66A;C5;0.151862;;;1.908;0.086;;;
66A;C6;0.160911;;;1.908;0.086;;;
66A;N6;0.03321;;;1.824;0.17;;;
66A;C62;0.401664;;;1.908;0.086;;;
66A;O62;-0.532381;;;1.6612;0.21;;;
66A;N63;-0.232954;;;1.824;0.17;;;
66A;C64;0.041373;;;1.908;0.1094;;;
66A;C48;0.722869;;;1.908;0.086;;;
66A;O81;-0.677235;;;1.721;0.2104;;;
66A;H81;0.467351;;;0;0;;;
66A;O82;-0.55473;;;1.6612;0.21;;;
66A;C65;0.175156;;;1.908;0.1094;;;
66A;O52;-0.64989;;;1.721;0.2104;;;
66A;H52;0.438559;;;0;0;;;
66A;C67;-0.159432;;;1.908;0.1094;;;
66A;H71;0.043655;;;1.487;0.0157;;;
66A;H72;0.043655;;;1.487;0.0157;;;
66A;H73;0.043655;;;1.487;0.0157;;;
66A;H51;0.056341;;;1.387;0.0157;;;
66A;H64;0.10772;;;1.387;0.0157;;;
66A;H63;0.175649;;;0.6;0.0157;;;
66A;C61;-0.148554;;;1.908;0.1094;;;
66A;H11;0.084703;;;1.387;0.0157;;;
66A;H12;0.084703;;;1.387;0.0157;;;
66A;H13;0.084703;;;1.387;0.0157;;;
66A;N1;-0.504276;;;1.824;0.17;;;
66A;C2;0.490228;;;1.908;0.086;;;
66A;N3;-0.690943;;;1.824;0.17;;;
66A;C4;0.461925;;;1.908;0.086;;;
66A;H2;0.070379;;;1.359;0.015;;;
66A;H8;0.186485;;;1.359;0.015;;;
6AA;P;1.087832;;;2.1;0.2;;;
6AA;O1P;-0.76666;;;1.6612;0.21;;;
6AA;O2P;-0.76666;;;1.6612;0.21;;;
6AA;'O2''';-0.591348;;;1.721;0.2104;;;
6AA;'HO''2';0.410145;;;0;0;;;
6AA;N9;-0.060271;;;1.824;0.17;;;
6AA;C8;0.133717;;;1.908;0.086;;;
6AA;N7;-0.546736;;;1.824;0.17;;;
6AA;C5;0.041584;;;1.908;0.086;;;
6AA;C6;0.433964;;;1.908;0.086;;;
6AA;N6;-0.406601;;;1.824;0.17;;;
6AA;H61;0.281708;;;0.6;0.0157;;;
6AA;C62;0.661326;;;1.908;0.086;;;
6AA;C63;-0.199788;;;1.908;0.1094;;;
6AA;H31;0.06795;;;1.487;0.0157;;;
6AA;H32;0.06795;;;1.487;0.0157;;;
6AA;H33;0.06795;;;1.487;0.0157;;;
6AA;O62;-0.574064;;;1.6612;0.21;;;
6AA;N1;-0.611167;;;1.824;0.17;;;
6AA;C2;0.488721;;;1.908;0.086;;;
6AA;N3;-0.689346;;;1.824;0.17;;;
6AA;C4;0.480944;;;1.908;0.086;;;
6AA;H2;0.073847;;;1.359;0.015;;;
6AA;H8;0.170133;;;1.359;0.015;;;
6GA;P;1.087832;;;2.1;0.2;;;
6GA;O1P;-0.76666;;;1.6612;0.21;;;
6GA;O2P;-0.76666;;;1.6612;0.21;;;
6GA;'O2''';-0.591348;;;1.721;0.2104;;;
6GA;'HO''2';0.410145;;;0;0;;;
6GA;N9;-0.100879;;;1.824;0.17;;;
6GA;C8;0.16451;;;1.908;0.086;;;
6GA;N7;-0.520274;;;1.824;0.17;;;
6GA;C5;-0.040456;;;1.908;0.086;;;
6GA;C6;0.634625;;;1.908;0.086;;;
6GA;N6;-0.62527;;;1.824;0.17;;;
6GA;H61;0.340377;;;0.6;0.0157;;;
6GA;C62;0.772044;;;1.908;0.086;;;
6GA;N63;-0.414026;;;1.824;0.17;;;
6GA;H63;0.278748;;;0.6;0.0157;;;
6GA;C64;-0.055029;;;1.908;0.1094;;;
6GA;H41;0.047118;;;1.387;0.0157;;;
6GA;H42;0.047118;;;1.387;0.0157;;;
6GA;C65;0.786212;;;1.908;0.086;;;
6GA;O51;-0.760458;;;1.6612;0.21;;;
6GA;O52;-0.798415;;;1.6612;0.21;;;
6GA;O62;-0.668098;;;1.6612;0.21;;;
6GA;N1;-0.764223;;;1.824;0.17;;;
6GA;C2;0.603392;;;1.908;0.086;;;
6GA;N3;-0.758367;;;1.824;0.17;;;
6GA;C4;0.513161;;;1.908;0.086;;;
6GA;H2;0.031496;;;1.359;0.015;;;
6GA;H8;0.168514;;;1.359;0.015;;;
6IA;P;1.087832;;;2.1;0.2;;;
6IA;O1P;-0.76666;;;1.6612;0.21;;;
6IA;O2P;-0.76666;;;1.6612;0.21;;;
6IA;'O2''';-0.591348;;;1.721;0.2104;;;
6IA;'HO''2';0.410145;;;0;0;;;
6IA;N9;-0.073111;;;1.824;0.17;;;
6IA;C8;0.138975;;;1.908;0.086;;;
6IA;N7;-0.575535;;;1.824;0.17;;;
6IA;C5;0.00135;;;1.908;0.086;;;
6IA;C6;0.488548;;;1.908;0.086;;;
6IA;N6;-0.319716;;;1.824;0.17;;;
6IA;H61;0.26933;;;0.6;0.0157;;;
6IA;C62;-0.034843;;;1.908;0.1094;;;
